Transaction_ID,Customer_ID,Customer_Name,Email,Phone,Country,Merchant,Category,Order_Value,Installments,Payment_Status,Days_Late,Credit_Score,Monthly_Income,Age,Order_Date
1,770487,Brandon Haynes,danielchase@example.org,339.319.6875,UAE,Noon,Home,1262.21,3,Paid,43,829.0,5848.0,55,2024-12-22
2,542417,Carolyn Vargas,kenneth97@example.com,+1-558-767-8671x5616,UAE,Noon,Electronics,1132.26,2,Paid,45,829.0,16746.0,32,2026-01-28
3,571029,Joy Martinez,ejohnson@example.org,470-731-6696x2513,Kuwait,Noon,Fashion,3505.79,4,Paid,13,722.0,6349.0,23,2025-07-25
4,498382,Mary Montgomery,nicholas97@example.org,7435582889,UAE,Carrefour,Home,3038.44,2,Paid,34,613.0,15403.0,23,2025-11-07
5,678856,Casey Johnson,strongalisha@example.net,+1-705-452-3242x33229,Kuwait,Virgin Megastore,Home,2907.89,2,Paid,14,698.0,5614.0,32,2024-11-24
6,205907,Todd Jones,kristaford@example.net,+1-529-345-8981,Qatar,Extra,Beauty,3196.64,4,Paid,22,657.0,24960.0,35,2025-04-07
7,835911,Jennifer Houston,catherine97@example.org,(517)651-2514x171,UAE,Virgin Megastore,Fashion,2693.99,3,Paid,24,688.0,23971.0,53,2024-12-31
8,330283,Patrick Crawford MD,medinakevin@example.org,(909)843-9196x64361,Kuwait,Noon,Fashion,4117.92,4,Paid,4,658.0,21585.0,38,2025-02-16
9,322955,Steven Novak,michael85@example.net,001-205-499-3139x79237,Qatar,IKEA,Beauty,757.21,3,Paid,35,825.0,11609.0,55,2026-01-31
10,549245,Samantha Johnson,jacobbrown@example.org,(379)246-9955,Qatar,Carrefour,Fashion,4986.76,3,Paid,5,574.0,6592.0,27,2025-04-21
11,757924,Jeremiah Allen,annettenelson@example.net,(679)592-8578,Saudi Arabia,IKEA,Travel,364.46,6,Paid,29,820.0,11238.0,53,2024-10-13
12,112038,Lori Mitchell,cristinaford@example.org,001-357-282-1837x57482,UAE,Sharaf DG,Home,3854.56,4,Paid,27,630.0,17867.0,18,2026-06-05
13,857168,Mary Everett,gmeadows@example.net,+1-731-516-1867,Kuwait,Sharaf DG,Fashion,2563.02,2,Late,19,809.0,22954.0,30,2025-07-01
14,260263,Lori Foster,lukebuchanan@example.com,8149828889,Kuwait,Jarir,Travel,4769.82,2,Paid,31,559.0,6665.0,41,2025-09-10
15,972064,Austin Myers,maureenbryant@example.org,+1-950-349-9852,Kuwait,Namshi,Electronics,1242.31,2,Paid,31,585.0,27923.0,52,2025-06-04
16,903035,Vincent Shah,luisgriffith@example.net,2208022593,Saudi Arabia,Jarir,Beauty,4736.9,3,Paid,38,766.0,9940.0,52,2024-09-03
17,891952,Justin Jones,robert16@example.org,+1-276-482-0341x8402,Saudi Arabia,Extra,Beauty,4975.99,4,Paid,33,781.0,6965.0,33,2024-11-25
18,335612,Jack Weaver,mark01@example.org,(689)427-6837,UAE,Carrefour,Electronics,2962.13,3,Paid,0,586.0,26194.0,58,2025-12-24
19,161733,Steven Valencia,floresnicholas@example.net,736-536-1943x7822,Saudi Arabia,Amazon UAE,Electronics,4305.2,2,Paid,17,798.0,10020.0,52,2025-10-13
20,238739,Kristin Becker,warddominic@example.com,(442)695-6378x507,Qatar,Namshi,Beauty,4047.11,3,Paid,42,770.0,14609.0,45,2025-09-26
21,531071,Stephanie Lynch,nguyendiana@example.com,641-985-5810x9771,Qatar,Noon,Electronics,350.03,4,Late,6,677.0,9278.0,30,2026-04-28
